run_name,metric,step,value
dna-bolinas-scaling-v0.5-h1408-p476M,train/loss,33680,1.2300074100494385
dna-bolinas-scaling-v0.5-h1408-p476M,train/loss,40416,1.2213245630264282
dna-bolinas-scaling-v0.5-h1408-p476M,train/loss,47152,1.2074840068817139
dna-bolinas-scaling-v0.5-h1408-p476M,train/loss,53888,1.1910005807876587
dna-bolinas-scaling-v0.5-h1408-p476M,train/loss,60624,1.1766877174377441
dna-bolinas-scaling-v0.5-h1408-p476M,train/loss,67360,1.1952921152114868
dna-bolinas-scaling-v0.5-h1408-p476M,train/loss,74096,1.1770062446594238
dna-bolinas-scaling-v0.5-h1408-p476M,train/loss,80832,1.1796146631240845
dna-bolinas-scaling-v0.5-h1408-p476M,train/loss,87568,1.172041893005371
dna-bolinas-scaling-v0.5-h1408-p476M,train/loss,94304,1.1756292581558228
dna-bolinas-scaling-v0.5-h1408-p476M,train/loss,101040,1.1682183742523193
dna-bolinas-scaling-v0.5-h1408-p476M,train/loss,107776,1.1668002605438232
dna-bolinas-scaling-v0.5-h1408-p476M,train/loss,114512,1.1568087339401245
dna-bolinas-scaling-v0.5-h1408-p476M,train/loss,121248,1.1657445430755615
dna-bolinas-scaling-v0.5-h1408-p476M,train/loss,127984,1.151852011680603
dna-bolinas-scaling-v0.5-h1408-p476M,train/loss,134720,1.1536251306533813
dna-bolinas-scaling-v0.5-h1408-p476M,train/loss,141456,1.1552783250808716
dna-bolinas-scaling-v0.5-h1408-p476M,train/loss,148192,1.1611539125442505
dna-bolinas-scaling-v0.5-h1408-p476M,train/loss,154928,1.1498003005981445
dna-bolinas-scaling-v0.5-h1408-p476M,train/loss,161664,1.1505060195922852
dna-bolinas-scaling-v0.5-h1408-p476M,train/loss,168400,1.156331181526184
dna-bolinas-scaling-v0.5-h1408-p476M,train/loss,175136,1.1471803188323975
dna-bolinas-scaling-v0.5-h1408-p476M,train/loss,181872,1.152435302734375
dna-bolinas-scaling-v0.5-h1408-p476M,train/loss,188608,1.1259733438491821
dna-bolinas-scaling-v0.5-h1408-p476M,train/loss,195344,1.1200759410858154
dna-bolinas-scaling-v0.5-h1408-p476M,train/loss,202080,1.1299841403961182
dna-bolinas-scaling-v0.5-h1408-p476M,train/loss,208816,1.1149468421936035
dna-bolinas-scaling-v0.5-h1408-p476M,train/loss,215552,1.10013747215271
dna-bolinas-scaling-v0.5-h1408-p476M,train/loss,215573,1.11039400100708
dna-bolinas-scaling-v0.5-h1920-p1B,eval/loss,0,2.3363590240478516
dna-bolinas-scaling-v0.5-h1920-p1B,eval/loss,6736,1.213973045349121
dna-bolinas-scaling-v0.5-h1920-p1B,eval/loss,13472,1.1838728189468384
dna-bolinas-scaling-v0.5-h1920-p1B,eval/loss,20208,1.1308797597885132
dna-bolinas-scaling-v0.5-h1920-p1B,eval/loss,26944,1.0552589893341064
dna-bolinas-scaling-v0.5-h1920-p1B,eval/loss,33680,1.0015783309936523
dna-bolinas-scaling-v0.5-h1920-p1B,eval/loss,40416,0.9574260115623474
dna-bolinas-scaling-v0.5-h1920-p1B,eval/loss,47152,0.9281252026557922
dna-bolinas-scaling-v0.5-h1920-p1B,eval/loss,53888,0.9073830246925354
dna-bolinas-scaling-v0.5-h1920-p1B,eval/loss,60624,0.8905235528945923
dna-bolinas-scaling-v0.5-h1920-p1B,eval/loss,67360,0.8766914010047913
dna-bolinas-scaling-v0.5-h1920-p1B,eval/loss,74096,0.8641642332077026
dna-bolinas-scaling-v0.5-h1920-p1B,eval/loss,80832,0.8528650999069214
dna-bolinas-scaling-v0.5-h1920-p1B,eval/loss,87568,0.8439682722091675
dna-bolinas-scaling-v0.5-h1920-p1B,eval/loss,94304,0.8359099626541138
dna-bolinas-scaling-v0.5-h1920-p1B,eval/loss,101040,0.8293179273605347
dna-bolinas-scaling-v0.5-h1920-p1B,eval/loss,107776,0.823572039604187
dna-bolinas-scaling-v0.5-h1920-p1B,eval/loss,114512,0.8177016377449036
dna-bolinas-scaling-v0.5-h1920-p1B,eval/loss,121248,0.811348557472229
dna-bolinas-scaling-v0.5-h1920-p1B,eval/loss,127984,0.8043869733810425
dna-bolinas-scaling-v0.5-h1920-p1B,eval/loss,134720,0.8000966310501099
dna-bolinas-scaling-v0.5-h1920-p1B,eval/loss,141456,0.8005463480949402
dna-bolinas-scaling-v0.5-h1920-p1B,eval/loss,148192,0.7938576936721802
dna-bolinas-scaling-v0.5-h1920-p1B,eval/loss,154928,0.7906525135040283
dna-bolinas-scaling-v0.5-h1920-p1B,eval/loss,161664,0.7869455218315125
dna-bolinas-scaling-v0.5-h1920-p1B,eval/loss,168400,0.7850780487060547
dna-bolinas-scaling-v0.5-h1920-p1B,eval/loss,175136,0.7753378748893738
dna-bolinas-scaling-v0.5-h1920-p1B,eval/loss,181872,0.7616437077522278
dna-bolinas-scaling-v0.5-h1920-p1B,eval/loss,188608,0.7477480173110962
dna-bolinas-scaling-v0.5-h1920-p1B,eval/loss,195344,0.7347085475921631
dna-bolinas-scaling-v0.5-h1920-p1B,eval/loss,202080,0.7201924920082092
dna-bolinas-scaling-v0.5-h1920-p1B,eval/loss,208816,0.7089684009552002
dna-bolinas-scaling-v0.5-h1920-p1B,eval/loss,215552,0.7022378444671631
dna-bolinas-scaling-v0.5-h1920-p1B,eval/loss,215573,0.702241837978363
dna-bolinas-scaling-v0.5-h1920-p1B,train/loss,0,2.2349536418914795
dna-bolinas-scaling-v0.5-h1920-p1B,train/loss,6736,1.3044884204864502
dna-bolinas-scaling-v0.5-h1920-p1B,train/loss,13472,1.2802425622940063
dna-bolinas-scaling-v0.5-h1920-p1B,train/loss,20208,1.2579518556594849
dna-bolinas-scaling-v0.5-h1920-p1B,train/loss,26944,1.2295325994491577
dna-bolinas-scaling-v0.5-h1920-p1B,train/loss,33680,1.2041256427764893
dna-bolinas-scaling-v0.5-h1920-p1B,train/loss,40416,1.194471001625061
dna-bolinas-scaling-v0.5-h1920-p1B,train/loss,47152,1.178899884223938
dna-bolinas-scaling-v0.5-h1920-p1B,train/loss,53888,1.1643465757369995
dna-bolinas-scaling-v0.5-h1920-p1B,train/loss,60624,1.1493310928344727
